year,Sector_Name,sector,value
2016,Aquaculture,p1.4.2,4053
2016,Mining and quarrying,p2,105368
2016,Crude oil and condensate,p2.1,46821
2016,Natural gas ,p2.2,50607
2016,Other mining & quarrying and supporting services,p2.3,7940
2016,Manufacturing,p3,273899
2016,"Minyak dan lemak daripada sayuran & haiwan, prosesan makanan, minuman dan produk tembakau",p3.1,33679
2016,Vegetable and animal oils & fats,p3.1.1,11336
2016,Food processing,p3.1.2,14233
2016,Beverages,p3.1.3,4557
2016,Tobacco products,p3.1.4,3553
2016,"Tekstil, pakaian dan produk kulit",p3.2,5264
2016,Textile and wearing apparel,p3.2.1,4584
2016,Leather and related products,p3.2.2,680
2016,"Produk kayu, perabot, keluaran kertas dan percetakan ",p3.3,14452
2016,Wood products ,p3.3.1,6699
2016,Paper and paper products,p3.3.2,4066
2016,Printing and reproduction of recorded media ,p3.3.3,3687
2016,"Produk petroleum, kimia, getah dan plastik",p3.4,81717
2016,Refined petroleum products,p3.4.1,35522
2016,Chemicals & chemical products and pharmaceutical products ,p3.4.2,30239
2016,Rubber products,p3.4.3,6642
2016,Plastics products,p3.4.4,9314
2016,"Produk mineral bukan logam, logam asas dan produk logam yang direka",p3.5,32907
2016,Non-metallic mineral products,p3.5.1,10778
2016,Basic metals,p3.5.2,7476
2016,Fabricated metal products,p3.5.3,14653
2016,"Produk elektrik, elektronik dan optikal",p3.6,75556
2016,Machinery and equipment,p3.6.1,8753
2016,Computers and peripheral equipment,p3.6.2,5625
2016,Electrical equipment,p3.6.3,5600
2016,"Electronic components & boards, communication equipment and consumer electronics",p3.6.4,50641
2016,"Manufacture of medical, precision & optical instrument, watches and clocks",p3.6.5,4937
2016,"Peralatan pengangkutan, pembuatan lain dan pembaikan",p3.7,30325
2016,Motor vehicles and transport equipment,p3.7.1,22120
2016,Furniture,p3.7.2,4318
2016,Other manufacturing and repair & installation of machinery and equipment,p3.7.3,3887
2016,Construction,p4,59508
2016,Buildings,p4.1,31746
2016,Residential buildings,p4.1.1,16549
2016,Non-residential buildings,p4.1.2,15197
2016,Civil engineering,p4.2,17791
2016,Specialised construction activities,p4.3,9972
2016,Services,p5,680561
2016,"Utilities, transportation & storage and information & communication",p5.1,145176
2016,Electricity and gas,p5.1.1,27075
2016,"Water, sewerage and waste management",p5.1.2,6337
2016,Transportation and storage,p5.1.3,44463
2016,Land transport,p5.1.3.1,10936
2016,Water transport,p5.1.3.2,6169
2016,Air transport,p5.1.3.3,5904
2016,Port and airport operation,p5.1.3.4,6230
2016,Highway operation,p5.1.3.5,6621
2016,Support activities for transportation,p5.1.3.6,6733
2016,Postal and courier ,p5.1.3.7,1869
2016,Information and communication,p5.1.4,67301
2016,Publishing and broadcasting activities ,p5.1.4.1,6875
2016,Telecommunications,p5.1.4.2,44870
2016,Computer and information service activities,p5.1.4.3,15556
2016,"Wholesale and retail trade, food & beverage and accommodation",p5.2,234538
2016,Wholesale and retail trade ,p5.2.1,195707
2016,Wholesale trade,p5.2.1.1,89007
2016,Retail trade,p5.2.1.2,84103
2016,Motor vehicles,p5.2.1.3,22598
2016,Food and beverage,p5.2.2,30575
2016,Accommodation,p5.2.3,8256
2016,"Finance and insurance, real estate and business services",p5.3,135688
2016,Finance,p5.3.1,60888
2016,Monetary intermediation,p5.3.1.1,51534
2016,Other financial intermediation and activities auxiliary to finance,p5.3.1.2,9353
2016,Insurance,p5.3.2,19835
2016,Insurance and pension funding,p5.3.2.1,19232
2016,Activities auxiliary to insurance,p5.3.2.2,603
2016,Real estate,p5.3.3,18412
2016,Business services,p5.3.4,36553
2016,"Professional, scientific and technical ",p5.3.4.1,24829
2016,Administrative and support services,p5.3.4.2,11724
2016,Other services,p5.4,60538
2016,Private health services,p5.4.1,8473
2016,Private education services,p5.4.2,9856
2016,Owner-occupied dwellings,p5.4.3,27491
2016,Non-profit institutions serving households,p5.4.4,329
2016,Domestic services of households,p5.4.5,1181
2016,Other services not elsewhere classified,p5.4.6,13208
2016,Government services,p5.5,104620
2016,General public services,p5.5.01,16725
2016,Defence,p5.5.02,8743
2016,Public order and safety,p5.5.03,9937
2016,Economic affairs,p5.5.04,8666
2016,Environmental protection,p5.5.05,367
2016,Housing and community amenities,p5.5.06,1485
